Poll,Date,Year,Sample,dem,gop,Spread
NBC News/Wall St. Jrnl,11/1 - 11/3,2018,774 LV,50,43,Democrats +7
CNN,11/1 - 11/3,2018,1151 LV,55,42,Democrats +13
ABC News/Wash Post,10/29 - 11/1,2018,737 LV,52,44,Democrats +8
Rasmussen Reports,10/28 - 11/1,2018,2500 LV,45,46,Republicans +1
IBD/TIPP,10/25 - 11/3,2018,798 LV,50,41,Democrats +9
Economist/YouGov,10/28 - 10/30,2018,1296 RV,47,42,Democrats +5
NPR/PBS/Marist,10/28 - 10/29,2018,509 LV,52,43,Democrats +9
Harvard-Harris,10/26 - 10/28,2018,1835 RV,47,38,Democrats +9
Reuters/Ipsos,10/24 - 10/30,2018,1383 LV,49,42,Democrats +7
Rasmussen Reports,10/21 - 10/25,2018,2500 LV,47,44,Democrats +3
Economist/YouGov,10/21 - 10/23,2018,1233 RV,47,41,Democrats +6
NPR/PBS/Marist,10/21 - 10/23,2018,738 RV,50,40,Democrats +10
Reuters/Ipsos,10/17 - 10/23,2018,2062 LV,49,42,Democrats +7
USA Today/Suffolk,10/18 - 10/22,2018,1000 LV,51,43,Democrats +8
Rasmussen Reports,10/14 - 10/18,2018,2500 LV,47,44,Democrats +3
NBC News/Wall St. Jrnl,10/14 - 10/17,2018,645 LV,50,41,Democrats +9
Economist/YouGov,10/14 - 10/16,2018,1273 RV,46,41,Democrats +5
FOX News,10/13 - 10/16,2018,841 LV,49,42,Democrats +7
Reuters/Ipsos,10/10 - 10/16,2018,1194 LV,51,40,Democrats +11
ABC News/Wash Post,10/8 - 10/11,2018,991 RV,53,42,Democrats +11
Rasmussen Reports,10/7 - 10/11,2018,2500 LV,45,44,Democrats +1
Economist/YouGov,10/7 - 10/9,2018,1162 RV,47,41,Democrats +6
Reuters/Ipsos,10/3 - 10/9,2018,2012 LV,50,38,Democrats +12
CNBC,10/4 - 10/7,2018,800 A,42,36,Democrats +6
CNN,10/4 - 10/7,2018,739 LV,54,41,Democrats +13
Emerson,10/1 - 10/4,2018,1000 RV,50,42,Democrats +8
Rasmussen Reports,9/30 - 10/4,2018,2500 LV,45,45,Tie
Economist/YouGov,9/30 - 10/2,2018,1227 RV,45,40,Democrats +5
NPR/PBS/Marist,10/1 - 10/1,2018,996 RV,48,42,Democrats +6
IBD/TIPP,9/27 - 10/3,2018,846 RV,45,43,Democrats +2
Reuters/Ipsos,9/26 - 10/2,2018,1840 LV,50,38,Democrats +12
Harvard-Harris,9/29 - 9/30,2018,1330 RV,45,37,Democrats +8
Quinnipiac,9/27 - 9/30,2018,1111 RV,49,42,Democrats +7
Rasmussen Reports,9/23 - 9/27,2018,2500 LV,47,42,Democrats +5
Harvard-Harris,9/26 - 9/27,2018,1228 RV,45,36,Democrats +9
Economist/YouGov,9/23 - 9/25,2018,1238 RV,46,38,Democrats +8
NPR/PBS/Marist,9/22 - 9/24,2018,802 RV,48,41,Democrats +7
Reuters/Ipsos,9/19 - 9/25,2018,1425 LV,48,41,Democrats +7
Pew Research,9/18 - 9/24,2018,1439 RV,52,42,Democrats +10
Gallup,9/17 - 9/23,2018,1308 RV,51,42,Democrats +9
Rasmussen Reports,9/16 - 9/20,2018,2500 LV,46,43,Democrats +3
FOX News,9/16 - 9/19,2018,818 LV,49,42,Democrats +7
NBC News/Wall St. Jrnl,9/16 - 9/19,2018,594 LV,51,43,Democrats +8
Economist/YouGov,9/16 - 9/18,2018,1195 RV,45,41,Democrats +4
Reuters/Ipsos,9/12 - 9/18,2018,1304 LV,48,41,Democrats +7
Rasmussen Reports,9/9 - 9/13,2018,2500 LV,47,42,Democrats +5
Economist/YouGov,9/9 - 9/11,2018,1220 RV,44,41,Democrats +3
Reuters/Ipsos,9/5 - 9/11,2018,1226 LV,49,41,Democrats +8
Quinnipiac,9/6 - 9/9,2018,1038 RV,52,38,Democrats +14
CNN,9/6 - 9/9,2018,775 LV,52,42,Democrats +10
NPR/Marist,9/5 - 9/9,2018,777 RV,50,38,Democrats +12
Rasmussen Reports,9/2 - 9/6,2018,2500 LV,46,42,Democrats +4
Economist/YouGov,9/2 - 9/4,2018,1254 RV,45,40,Democrats +5
Reuters/Ipsos,8/29 - 9/4,2018,2012 RV,44,35,Democrats +9
Grinnell/Selzer,8/29 - 9/2,2018,779 LV,45,43,Democrats +2
Emerson,8/29 - 8/31,2018,1000 RV,52,39,Democrats +13
Rasmussen Reports,8/26 - 8/30,2018,2500 LV,46,42,Democrats +4
ABC News/Wash Post,8/26 - 8/29,2018,879 RV,52,38,Democrats +14
