index,state,election,dem,gop,incumbent,current_party
1,MI,sen18,52.2,45.8,dem,dem
2,MI,gov18,52.8,44.3,gop,gop
3,OH,sen16,53.2,46.8,dem,dem
4,OH,gov18,46.4,50.7,-,gop
5,WI,sen18,55.4,44.6,dem,dem
6,WI,gov18,49.6,48.4,gop,gop
7,IA,gov18,47.4,50.4,gop,gop
8,AZ,sen18,49.9,47.6,-,gop
9,AZ,gov18,41.5,56.4,gop,gop
10,PA,sen18,55.6,42.7,dem,dem
11,PA,gov18,56.3,36.7,dem,dem
12,FL,sen18,49.9,50.1,dem,dem
13,FL,gov18,49.2,49.6,-,gop
14,TX,sen18,48.3,50.9,gop,gop
15,TX,gov18,42.5,55.8,gop,gop
16,NV,sen18,50.4,45.4,gop,gop
17,NV,gov18,49.4,45.3,-,gop
18,MN,sen18a,53,42.4,dem,dem
19,MN,sen18b,60.3,36.2,dem,dem
20,MN,gov18,53.9,42.4,-,dem
21,NH,gov18,46.1,52.4,gop,gop
22,VA,sen18,56.9,41.2,dem,dem
23,GA,gov18,48.8,50.2,- ,gop
24,NY,sen18,66.5,33.5,dem,dem
25,NY,gov18,59,36.8,dem,dem
26,TN,sen18,43.9,54.7,-,gop
27,TN,gov18,38.8,59.3,-,gop
28,KS,gov18,47.8,43.3,-,gop
29,WV,sen18,49.5,46.3,dem,dem
30,IN,sen18,45.1,51,dem,dem
31,CO,gov18,52.3,44,-,dem
32,ND,sen18,44.5,55.5,dem,dem
33,ME,gov18,50.8,43.2,-,gop
34,ME,sen18,54.4,35.3,dem,dem
35,MO,sen18,45.5,51.5,dem,dem
36,MT,sen18,50.1,47,dem,dem
37,NJ,sen18,53.7,43.1,dem,dem
38,MS,sen18,46.1,53.9,gop,gop
39,UT,sen18,30.9,62.6,-,gop
40,NM,gov18,57.1,42.9,-,gop
41,VT,gov18,40.4,55.4,gop,gop
42,SC,gov18,46,54,gop,gop
43,CT,sen18,59.4,39.5,dem,dem
44,MA,sen18,60.3,36.3,dem,dem
45,CT,gov18,49.2,46.3,-,dem
46,MD,gov18,42.8,56.2,gop,gop
47,OR,gov18,50,43.9,dem,dem
48,OK,gov18,42.2,54.3,-,gop
49,AR,gov18,31.7,65.4,gop,gop
50,MA,gov18,33.2,66.8,gop,gop
